dia anom34 anom4 anom3 anom12
01-JAN-1982 0.13253 -0.44579 0.35861 -0.40614
02-JAN-1982 0.31989 -0.23949 0.42949 -0.68272
03-JAN-1982 0.38658 -0.00467 0.40478 -0.61780
04-JAN-1982 0.30465 -0.08680 0.30553 -0.40477
05-JAN-1982 0.16962 -0.14339 0.24974 0.35390
06-JAN-1982 0.06681 -0.17537 0.26375 0.63927
07-JAN-1982 0.01959 -0.26791 0.25857 0.61298
08-JAN-1982 -0.05439 -0.46064 0.26270 0.43632
09-JAN-1982 -0.21741 -0.51421 0.21834 0.30466
10-JAN-1982 -0.17198 -0.50861 0.19543 0.10087
11-JAN-1982 -0.11026 -0.43695 0.16158 -0.09821
12-JAN-1982 -0.19540 -0.44147 0.06258 -0.36019
13-JAN-1982 -0.15091 -0.54599 0.07088 -0.37941
14-JAN-1982 -0.18619 -0.68400 0.08791 -0.22613
15-JAN-1982 -0.27081 -0.66605 0.11989 -0.11096
16-JAN-1982 -0.25675 -0.56024 0.10675 -0.06989
17-JAN-1982 -0.16834 -0.57435 0.03876 -0.34574
18-JAN-1982 -0.13757 -0.60215 -0.00692 -0.68263
19-JAN-1982 0.01493 0.05577 -0.10230 -0.88290
20-JAN-1982 0.07986 0.30839 -0.15420 -0.95402
21-JAN-1982 0.13460 0.41861 -0.18825 -0.95358
22-JAN-1982 0.16534 0.49347 -0.19706 -1.05051
23-JAN-1982 0.28815 0.64484 -0.09014 -0.86187
24-JAN-1982 0.31905 0.67438 0.04691 -0.49356
25-JAN-1982 0.19775 0.40320 0.13473 -0.24968
26-JAN-1982 0.16749 0.19567 0.23636 -0.06446
27-JAN-1982 0.14920 0.15817 0.25612 0.27028
28-JAN-1982 0.14633 0.21661 0.22584 0.17910
29-JAN-1982 0.06837 0.14381 0.11343 -0.15227
30-JAN-1982 0.02297 0.11679 -0.00096 -0.39366
31-JAN-1982 0.00386 0.12239 -0.07333 -0.39504
01-FEB-1982 0.00893 -0.05123 0.00422 -0.07773
02-FEB-1982 -0.05930 -0.44184 0.05013 0.08664
03-FEB-1982 -0.04408 -0.31447 0.10328 -0.00389
04-FEB-1982 -0.07548 -0.24317 0.06869 -0.16263
05-FEB-1982 -0.10635 -0.25309 0.06201 -0.18057
06-FEB-1982 -0.20946 -0.32173 0.03906 -0.19944
07-FEB-1982 -0.23194 -0.22502 -0.06262 -0.20737
08-FEB-1982 -0.25898 -0.23407 -0.12448 -0.58730
09-FEB-1982 -0.22306 -0.20115 -0.05499 -0.58763
10-FEB-1982 -0.28690 -0.20803 -0.10173 -0.35120
11-FEB-1982 -0.37892 -0.32907 -0.15971 -0.46566
12-FEB-1982 -0.46716 -0.60382 -0.20811 -0.45782
13-FEB-1982 -0.59762 -0.79384 -0.17373 -0.48577
14-FEB-1982 -0.65873 -0.89359 -0.18466 -0.65645
15-FEB-1982 -0.40996 -0.38043 -0.16460 -0.60352
16-FEB-1982 -0.32560 -0.13531 -0.22929 -0.72300
17-FEB-1982 -0.25548 0.00383 -0.26706 -0.68329
18-FEB-1982 -0.15330 -0.02685 -0.15205 -0.88892
19-FEB-1982 -0.16701 -0.34807 -0.03929 -0.92588
20-FEB-1982 -0.24614 -0.39498 -0.13232 -0.80380
21-FEB-1982 -0.28962 -0.52296 -0.20997 -0.79879
22-FEB-1982 -0.31432 -0.59762 -0.25248 -0.88501
23-FEB-1982 -0.27772 -0.45294 -0.32824 -0.89503
24-FEB-1982 -0.31679 -0.34924 -0.37004 -0.96323
25-FEB-1982 -0.38592 -0.40049 -0.33719 -0.90583
26-FEB-1982 -0.32203 -0.33422 -0.25205 -0.92453
27-FEB-1982 -0.29991 -0.18816 -0.23168 -0.97738
28-FEB-1982 -0.33266 -0.16145 -0.27046 -0.75656
01-MAR-1982 -0.39746 -0.16251 -0.27353 -0.52628
02-MAR-1982 -0.44860 -0.23501 -0.25858 -0.56370
03-MAR-1982 -0.17567 0.10654 -0.05714 -0.91850
04-MAR-1982 0.04801 0.25789 0.05315 -1.33730
05-MAR-1982 0.07522 0.26777 0.08178 -1.34039
06-MAR-1982 -0.04173 -0.02138 0.12497 -1.21334
07-MAR-1982 -0.27990 -0.50904 -0.05547 -0.86217
08-MAR-1982 -0.35901 -0.33799 -0.32201 -0.87287
09-MAR-1982 -0.36143 -0.28652 -0.46135 -1.16750
10-MAR-1982 -0.37496 -0.38263 -0.41914 -1.61746
11-MAR-1982 -0.42422 -0.42994 -0.41191 -1.54849
12-MAR-1982 -0.39009 -0.39542 -0.46561 -1.46814
13-MAR-1982 -0.31033 -0.29446 -0.53325 -1.51761
14-MAR-1982 -0.29052 -0.27142 -0.51166 -1.46357
15-MAR-1982 -0.24091 -0.12726 -0.41016 -1.28394
16-MAR-1982 -0.24546 -0.10711 -0.24519 -1.12395
17-MAR-1982 -0.17299 -0.13690 -0.07605 -1.17604
18-MAR-1982 -0.11981 -0.11277 -0.08570 -1.18942
19-MAR-1982 -0.06250 0.05333 -0.14629 -1.19070
20-MAR-1982 0.08224 0.18894 -0.09028 -1.21098
21-MAR-1982 0.17603 0.28482 -0.02687 -1.36806
22-MAR-1982 0.20569 0.50232 -0.04197 -1.47490
23-MAR-1982 0.20846 0.74370 -0.09324 -1.36041
24-MAR-1982 0.23563 0.65900 -0.08853 -0.99094
25-MAR-1982 0.27208 0.45467 0.04370 -0.87583
26-MAR-1982 0.20968 0.28966 0.05917 -0.98438
27-MAR-1982 0.09209 0.27240 -0.00903 -1.08323
28-MAR-1982 -0.04913 0.24956 -0.07436 -1.25040
29-MAR-1982 -0.20561 -0.18920 -0.10551 -1.21197
30-MAR-1982 -0.33619 -0.41558 -0.14320 -1.28944
31-MAR-1982 -0.31256 -0.31838 -0.09667 -1.38513
01-APR-1982 -0.12262 -0.28586 0.07712 -1.49543
02-APR-1982 -0.01208 -0.28804 0.15553 -1.63067
03-APR-1982 -0.00848 -0.40437 0.21319 -1.51968
04-APR-1982 -0.03706 -0.44396 0.10616 -1.33621
05-APR-1982 -0.00589 -0.46867 0.08446 -1.08794
06-APR-1982 0.22667 -0.05348 0.23378 -1.01464
07-APR-1982 0.37729 0.22838 0.37460 -0.97233
08-APR-1982 0.37120 0.37434 0.33847 -0.90800
09-APR-1982 0.40372 0.49962 0.44021 -0.83645
10-APR-1982 0.30940 0.30113 0.37346 -0.70620
11-APR-1982 0.09782 0.18731 0.20521 -0.74167
12-APR-1982 -0.08597 -0.04517 0.05631 -0.81212
13-APR-1982 -0.16215 -0.26032 -0.05303 -0.95030
14-APR-1982 -0.12198 -0.03537 -0.08395 -1.16025
15-APR-1982 -0.04914 -0.00632 0.00185 -1.38624
16-APR-1982 0.03328 0.09185 0.01189 -1.53164
17-APR-1982 0.07226 0.10348 -0.00424 -1.24907
18-APR-1982 0.09522 0.30357 0.00376 -1.02728
19-APR-1982 0.21341 0.62148 0.06645 -0.89785
20-APR-1982 0.25892 0.58985 0.13435 -0.94331
21-APR-1982 0.25961 0.48541 0.21483 -1.02168
22-APR-1982 0.27343 0.42232 0.22323 -1.03047
23-APR-1982 0.29357 0.43743 0.18152 -1.03551
24-APR-1982 0.41997 0.63673 0.15729 -1.15975
25-APR-1982 0.53466 0.77107 0.03557 -1.19528
26-APR-1982 0.49511 0.56661 0.07826 -0.84629
27-APR-1982 0.24975 -0.06932 0.12880 -0.64292
28-APR-1982 0.03273 -0.14707 0.09835 -0.74739
29-APR-1982 0.03310 0.04521 0.18188 -0.79776
30-APR-1982 0.15067 0.14564 0.32563 -0.77440
01-MAY-1982 0.17706 0.09751 0.36250 -0.50589
02-MAY-1982 0.16419 0.16125 0.34169 -0.39438
03-MAY-1982 0.19055 0.48509 0.27614 -0.40938
04-MAY-1982 0.24376 0.70718 0.18438 -0.48530
05-MAY-1982 0.34347 0.67349 0.28730 -0.55923
06-MAY-1982 0.49931 0.50466 0.45055 -0.65294
07-MAY-1982 0.59572 0.37528 0.53191 -0.74877
08-MAY-1982 0.53658 0.35953 0.52166 -0.59227
09-MAY-1982 0.40647 0.37726 0.47212 -0.47795
10-MAY-1982 0.24289 0.14290 0.39689 -0.52722
11-MAY-1982 0.06392 -0.30436 0.19967 -0.61981
12-MAY-1982 0.03531 -0.37695 0.14439 -0.67053
13-MAY-1982 0.10560 -0.29812 0.33025 -0.57990
14-MAY-1982 0.28908 0.15640 0.52100 -0.47669
15-MAY-1982 0.49081 0.51569 0.62244 -0.48830
16-MAY-1982 0.67581 0.62393 0.66268 -0.60101
17-MAY-1982 0.87644 0.84573 0.77400 -0.64403
18-MAY-1982 0.92168 0.85627 0.82016 -0.58506
19-MAY-1982 0.87069 0.89841 0.92698 -0.40700
20-MAY-1982 0.89177 1.16050 0.96289 -0.26256
21-MAY-1982 0.93757 1.24481 0.92693 -0.21121
22-MAY-1982 1.03607 1.13793 0.91466 -0.18746
23-MAY-1982 1.15185 1.37397 0.90985 -0.28904
24-MAY-1982 1.06160 1.30859 0.86780 -0.37392
25-MAY-1982 0.89852 1.19986 0.84641 -0.30756
26-MAY-1982 0.86542 1.13928 0.86035 -0.21101
27-MAY-1982 0.84366 1.04889 0.87114 -0.09536
28-MAY-1982 0.82942 1.02612 0.87894 -0.04491
29-MAY-1982 0.81072 0.99466 0.86839 -0.05631
30-MAY-1982 0.79773 0.97705 0.84474 -0.05891
31-MAY-1982 0.79233 0.97121 0.82326 -0.02337
01-JUN-1982 0.88034 1.06509 0.87694 -0.12534
02-JUN-1982 0.98953 1.08759 0.86904 -0.01257
03-JUN-1982 1.14248 1.41313 0.88825 -0.11195
